Currency,Rate
AED,3.891101
AFN,79.453222
ALL,105.752433
AMD,426.251346
ANG,1.909499
AOA,878.224174
ARS,370.782223
AUD,1.666999
AWG,1.906881
AZN,1.798727
BAM,1.950163
BBD,2.139167
BDT,116.812377
BGN,1.957169
BHD,0.399354
BIF,2591.238777
BMD,1.059378
BND,1.448833
BOB,7.320737
BRL,5.28905
BSD,1.059413
BTC,3.1551757e-05
BTN,88.030488
BWP,14.563769
BYN,3.490062
BYR,20763.810311
BZD,2.135647
CAD,1.455792
CDF,2738.492133
CHF,0.946157
CLF,0.035571
CLP,981.502934
CNY,7.744261
COP,4465.818878
CRC,562.678999
CUC,1.059378
CUP,28.073519
CVE,109.778061
CZK,24.611896
DJF,188.272704
DKK,7.464696
DOP,60.277008
DZD,145.111544
EGP,32.764871
ERN,15.890671
ETB,58.798741
EUR,1.0
FJD,2.41819
FKP,0.865953
GBP,0.871158
GEL,2.854997
GGP,0.865953
GHS,12.527122
GIP,0.865953
GMD,69.919294
GNF,9168.917313
GTQ,8.306071
GYD,221.654122
HKD,8.287308
HNL,26.18818
HRK,7.594636
HTG,141.437864
HUF,383.118781
IDR,16810.211328
ILS,4.299655
IMP,0.865953
INR,87.945967
IQD,1387.785281
IRR,44771.966988
ISK,147.126142
JEP,0.865953
JMD,164.007517
JOD,0.751414
JPY,158.757356
KES,159.117691
KGS,94.623581
KHR,4382.647101
KMF,492.718024
KPW,953.462436
KRW,1422.03468
KWD,0.327464
KYD,0.88294
KZT,505.317555
LAK,21929.126505
LBP,16070.811296
LKR,346.985643
LRD,198.103911
LSL,20.160178
LTL,3.128068
LVL,0.640807
LYD,5.164443
MAD,10.908945
MDL,19.261057
MGA,4788.389066
MKD,61.532439
MMK,2224.948225
MNT,3667.035736
MOP,8.537005
MRO,378.197791
MUR,47.904487
MVR,16.324894
MWK,1216.694339
MXN,19.352772
MYR,5.069654
MZN,67.00561
NAD,20.133454
NGN,911.594955
NIO,38.826381
NOK,11.831473
NPR,140.849907
NZD,1.812575
OMR,0.407733
PAB,1.059448
PEN,4.09185
PGK,3.987128
PHP,60.077184
PKR,296.094895
PLN,4.464695
PYG,7893.260599
QAR,3.857169
RON,4.964672
RSD,117.177731
RUB,99.030364
RWF,1300.38659
SAR,3.974206
SBD,8.907591
SCR,14.178701
SDG,636.593726
SEK,11.793426
SGD,1.449338
SHP,1.288998
SLE,23.91078
SLL,20922.716713
SOS,604.390484
SSP,636.154385
SRD,40.279141
STD,21926.98732
SYP,13773.816104
SZL,21.006971
THB,38.324085
TJS,11.633012
TMT,3.718417
TND,3.344985
TOP,2.546163
TRY,29.783888
TTD,7.200257
TWD,34.205727
TZS,2649.504708
UAH,38.7384
UGX,3978.407315
USD,1.059378
UYU,42.257862
UZS,12950.897338
VEF,3688011.399679
VES,37.008502
VND,26018.325574
VUV,130.480329
WST,2.932513
XAF,654.075784
XAG,0.046229
XAU,0.000537
XCD,2.863022
XDR,0.807876
XOF,655.226142
XPF,119.657046
YER,265.215564
ZAR,20.174261
ZMK,9535.675228
ZMW,22.98524
ZWL,341.119309
